EmployeeSkillKey,EmployeeKey,SkillKey,ProficiencyLevel,ProficiencyCategory,IsPrimarySkill,IsCertified,CertificationName,EffectiveDate,ExpirationDate
1,1,1,3,Advanced,1,0,,2022-12-13,
2,2,1,4,Advanced,1,1,Mock Software Certification,2023-04-19,2025-12-19
3,2,2,3,Advanced,0,0,,2023-08-16,
4,3,1,3,Advanced,1,0,,2021-01-22,
5,4,1,4,Advanced,1,1,Mock Software Certification,2022-09-19,2024-10-19
6,4,6,2,Intermediate,0,0,,2023-02-20,
7,4,2,3,Advanced,0,0,,2023-01-21,
8,5,1,4,Advanced,1,1,Mock Software Certification,2022-11-23,2025-01-23
9,5,6,1,Foundational,0,0,,2023-07-10,
10,6,1,3,Advanced,1,0,,2024-10-05,
11,7,1,4,Advanced,1,1,Mock Software Certification,2024-03-06,2026-07-06
12,7,7,2,Intermediate,0,0,,2024-06-08,
13,8,1,4,Advanced,1,1,Mock Software Certification,2021-05-16,2023-10-16
14,8,6,2,Intermediate,0,0,,2021-11-01,
15,9,1,4,Advanced,1,0,,2024-07-05,
16,10,1,3,Advanced,1,0,,2022-12-09,
17,10,6,2,Intermediate,0,0,,2023-03-12,
18,11,1,5,Expert,1,1,Mock Software Certification,2024-06-17,2026-12-17
19,12,1,4,Advanced,1,0,,2025-02-04,
20,12,7,3,Advanced,0,0,,2025-06-22,
21,13,1,4,Advanced,1,1,Mock Software Certification,2022-09-17,2025-04-17
22,13,7,3,Advanced,0,0,,2023-02-28,
23,14,1,3,Advanced,1,0,,2025-05-02,
24,14,2,3,Advanced,0,0,,2025-06-30,
25,15,1,3,Advanced,1,0,,2022-04-13,
26,15,6,2,Intermediate,0,0,,2022-10-04,
27,16,1,5,Expert,1,1,Mock Software Certification,2021-09-24,2023-10-24
28,16,6,3,Advanced,0,0,,2022-04-15,
29,17,1,4,Advanced,1,1,Mock Software Certification,2025-05-12,2027-11-12
30,18,1,3,Advanced,1,0,,2021-04-08,
31,18,7,3,Advanced,0,0,,2021-09-18,
32,19,1,3,Advanced,1,0,,2025-04-24,
33,19,2,2,Intermediate,0,0,,2025-06-30,
34,20,1,3,Advanced,1,0,,2021-08-09,
35,21,1,3,Advanced,1,0,,2021-01-20,
36,21,6,2,Intermediate,0,0,,2021-05-09,
37,22,1,3,Advanced,1,0,,2021-12-07,
38,23,1,3,Advanced,1,0,,2025-06-06,
39,24,1,5,Expert,1,0,,2025-02-13,
40,25,1,5,Expert,1,1,Mock Software Certification,2023-07-02,2026-05-02
41,26,2,3,Advanced,1,0,,2023-05-13,
42,26,6,2,Intermediate,0,0,,2023-10-01,
43,26,1,1,Foundational,0,0,,2023-08-20,
44,27,2,4,Advanced,1,1,Mock Data Certification,2025-01-04,2027-04-04
45,27,1,2,Intermediate,0,0,,2025-05-17,
46,28,2,4,Advanced,1,0,,2022-01-21,
47,28,1,2,Intermediate,0,0,,2022-05-31,
48,29,2,3,Advanced,1,0,,2025-05-25,
49,30,2,4,Advanced,1,1,Mock Data Certification,2024-01-03,2026-10-03
50,31,2,3,Advanced,1,0,,2021-10-19,
51,31,1,2,Intermediate,0,0,,2022-01-25,
52,32,2,3,Advanced,1,0,,2021-06-02,
