FinancialRecordID,MonthStartDateKey,FiscalMonth,ProjectKey,CostCategory,PeriodType,BudgetAmount,ActualLaborCost,ActualMaterialCost,ActualOtherCost,ActualCostAmount,CommittedCost,ForecastToComplete,EAC,PlannedLaborHours,ActualLaborHours
FIN-000001,20241001,2024-10,1,Labor,Actual,52553.0,57814.42,0.0,0.0,57814.42,0.0,0.0,57814.42,606.61,613.5
FIN-000002,20241001,2024-10,1,Contractor,Actual,12530.11,9794.96,0.0,0.0,9794.96,0.0,0.0,9794.96,97.83,94.0
FIN-000003,20241001,2024-10,1,Material,Actual,42086.93,0.0,33485.71,0.0,33485.71,0.0,0.0,33485.71,0.0,0.0
FIN-000004,20241001,2024-10,1,Other,Actual,19269.7,0.0,0.0,16255.58,16255.58,0.0,0.0,16255.58,0.0,0.0
FIN-000005,20241101,2024-11,1,Labor,Actual,70374.58,71292.54,0.0,0.0,71292.54,0.0,0.0,71292.54,812.32,759.5
FIN-000006,20241101,2024-11,1,Contractor,Actual,16249.96,19992.52,0.0,0.0,19992.52,0.0,0.0,19992.52,126.87,166.0
FIN-000007,20241101,2024-11,1,Material,Actual,51006.91,0.0,36753.87,0.0,36753.87,0.0,0.0,36753.87,0.0,0.0
FIN-000008,20241101,2024-11,1,Other,Actual,21852.32,0.0,0.0,18385.83,18385.83,0.0,0.0,18385.83,0.0,0.0
FIN-000009,20241201,2024-12,1,Labor,Actual,83186.67,69189.8,0.0,0.0,69189.8,0.0,0.0,69189.8,960.21,740.5
FIN-000010,20241201,2024-12,1,Contractor,Actual,18479.41,24953.55,0.0,0.0,24953.55,0.0,0.0,24953.55,144.28,201.25
FIN-000011,20241201,2024-12,1,Material,Actual,59551.39,0.0,51775.97,0.0,51775.97,0.0,0.0,51775.97,0.0,0.0
FIN-000012,20241201,2024-12,1,Other,Actual,26189.01,0.0,0.0,16388.55,16388.55,0.0,0.0,16388.55,0.0,0.0
FIN-000013,20250101,2025-01,1,Labor,Actual,91812.72,73952.81,0.0,0.0,73952.81,0.0,0.0,73952.81,1059.78,777.5
FIN-000014,20250101,2025-01,1,Contractor,Actual,22488.32,36282.75,0.0,0.0,36282.75,0.0,0.0,36282.75,175.58,271.75
FIN-000015,20250101,2025-01,1,Material,Actual,67610.72,0.0,43911.76,0.0,43911.76,0.0,0.0,43911.76,0.0,0.0
FIN-000016,20250101,2025-01,1,Other,Actual,31546.72,0.0,0.0,21920.81,21920.81,0.0,0.0,21920.81,0.0,0.0
FIN-000017,20250201,2025-02,1,Labor,Actual,95675.72,114779.36,0.0,0.0,114779.36,0.0,0.0,114779.36,1104.37,1187.25
FIN-000018,20250201,2025-02,1,Contractor,Actual,26043.51,97273.41,0.0,0.0,97273.41,0.0,0.0,97273.41,203.33,746.75
FIN-000019,20250201,2025-02,1,Material,Actual,72495.01,0.0,56719.72,0.0,56719.72,0.0,0.0,56719.72,0.0,0.0
FIN-000020,20250201,2025-02,1,Other,Actual,32826.2,0.0,0.0,23656.56,23656.56,0.0,0.0,23656.56,0.0,0.0
FIN-000021,20250301,2025-03,1,Labor,Actual,100200.42,137716.24,0.0,0.0,137716.24,0.0,0.0,137716.24,1156.59,1449.75
FIN-000022,20250301,2025-03,1,Contractor,Actual,28796.93,107655.56,0.0,0.0,107655.56,0.0,0.0,107655.56,224.83,845.5
FIN-000023,20250301,2025-03,1,Material,Actual,80744.37,0.0,66000.98,0.0,66000.98,0.0,0.0,66000.98,0.0,0.0
FIN-000024,20250301,2025-03,1,Other,Actual,33893.22,0.0,0.0,29057.28,29057.28,0.0,0.0,29057.28,0.0,0.0
FIN-000025,20250401,2025-04,1,Labor,Actual,105970.95,106492.08,0.0,0.0,106492.08,0.0,0.0,106492.08,1223.2,1080.25
FIN-000026,20250401,2025-04,1,Contractor,Actual,30312.5,86399.4,0.0,0.0,86399.4,0.0,0.0,86399.4,236.66,673.5
FIN-000027,20250401,2025-04,1,Material,Actual,80854.82,0.0,53447.36,0.0,53447.36,0.0,0.0,53447.36,0.0,0.0
FIN-000028,20250401,2025-04,1,Other,Actual,34546.78,0.0,0.0,29522.98,29522.98,0.0,0.0,29522.98,0.0,0.0
FIN-000029,20250501,2025-05,1,Labor,Actual,107868.61,94348.57,0.0,0.0,94348.57,0.0,0.0,94348.57,1245.11,977.75
FIN-000030,20250501,2025-05,1,Contractor,Actual,30980.43,94542.87,0.0,0.0,94542.87,0.0,0.0,94542.87,241.88,757.0
FIN-000031,20250501,2025-05,1,Material,Actual,76412.63,0.0,51269.01,0.0,51269.01,0.0,0.0,51269.01,0.0,0.0
FIN-000032,20250501,2025-05,1,Other,Actual,35885.91,0.0,0.0,30411.1,30411.1,0.0,0.0,30411.1,0.0,0.0
FIN-000033,20250601,2025-06,1,Labor,Actual,116583.33,126034.93,0.0,0.0,126034.93,0.0,0.0,126034.93,1345.7,1311.5
FIN-000034,20250601,2025-06,1,Contractor,Actual,30298.28,110897.4,0.0,0.0,110897.4,0.0,0.0,110897.4,236.55,867.0
FIN-000035,20250601,2025-06,1,Material,Actual,75332.6,0.0,61344.96,0.0,61344.96,0.0,0.0,61344.96,0.0,0.0
FIN-000036,20250601,2025-06,1,Other,Actual,32399.42,0.0,0.0,20278.8,20278.8,0.0,0.0,20278.8,0.0,0.0
FIN-000037,20250701,2025-07,1,Labor,Forecast,102453.34,0.0,0.0,0.0,0.0,36955.8,113334.26,113334.26,1182.6,0.0
FIN-000038,20250701,2025-07,1,Contractor,Forecast,28354.47,0.0,0.0,0.0,0.0,21951.92,45545.75,45545.75,221.37,0.0
FIN-000039,20250701,2025-07,1,Material,Forecast,68759.23,0.0,0.0,0.0,0.0,34213.7,76330.68,76330.68,0.0,0.0
FIN-000040,20250701,2025-07,1,Other,Forecast,31080.18,0.0,0.0,0.0,0.0,17493.76,53696.41,53696.41,0.0,0.0
FIN-000041,20250801,2025-08,1,Labor,Forecast,93303.44,0.0,0.0,0.0,0.0,45388.86,100243.23,100243.23,1076.98,0.0
FIN-000042,20250801,2025-08,1,Contractor,Forecast,29358.21,0.0,0.0,0.0,0.0,20237.42,47029.4,47029.4,229.21,0.0
FIN-000043,20250801,2025-08,1,Material,Forecast,63956.55,0.0,0.0,0.0,0.0,30425.63,67113.74,67113.74,0.0,0.0
FIN-000044,20250801,2025-08,1,Other,Forecast,27839.89,0.0,0.0,0.0,0.0,13430.06,45941.95,45941.95,0.0,0.0
FIN-000045,20250901,2025-09,1,Labor,Forecast,90264.61,0.0,0.0,0.0,0.0,30729.27,98592.09,98592.09,1041.91,0.0
FIN-000046,20250901,2025-09,1,Contractor,Forecast,25796.02,0.0,0.0,0.0,0.0,17233.42,42332.77,42332.77,201.4,0.0
FIN-000047,20250901,2025-09,1,Material,Forecast,58412.59,0.0,0.0,0.0,0.0,28860.58,60313.47,60313.47,0.0,0.0
FIN-000048,20250901,2025-09,1,Other,Forecast,26325.98,0.0,0.0,0.0,0.0,8352.2,39723.53,39723.53,0.0,0.0
FIN-000049,20251001,2025-10,1,Labor,Forecast,77093.79,0.0,0.0,0.0,0.0,25763.2,78724.54,78724.54,889.88,0.0
FIN-000050,20251001,2025-10,1,Contractor,Forecast,24213.92,0.0,0.0,0.0,0.0,17261.03,39458.83,39458.83,189.05,0.0
FIN-000051,20251001,2025-10,1,Material,Forecast,49392.45,0.0,0.0,0.0,0.0,21182.77,48962.78,48962.78,0.0,0.0
FIN-000052,20251001,2025-10,1,Other,Forecast,22551.88,0.0,0.0,0.0,0.0,7923.72,36644.25,36644.25,0.0,0.0
FIN-000053,20251101,2025-11,1,Labor,Forecast,65239.22,0.0,0.0,0.0,0.0,19158.05,63042.12,63042.12,753.04,0.0
FIN-000054,20251101,2025-11,1,Contractor,Forecast,21260.64,0.0,0.0,0.0,0.0,9657.82,34242.84,34242.84,165.99,0.0
FIN-000055,20251101,2025-11,1,Material,Forecast,40652.17,0.0,0.0,0.0,0.0,15294.82,40319.72,40319.72,0.0,0.0
FIN-000056,20251101,2025-11,1,Other,Forecast,19412.08,0.0,0.0,0.0,0.0,9637.55,29767.15,29767.15,0.0,0.0
FIN-000057,20251201,2025-12,1,Labor,Forecast,55756.84,0.0,0.0,0.0,0.0,12654.8,55967.92,55967.92,643.59,0.0
FIN-000058,20251201,2025-12,1,Contractor,Forecast,17223.86,0.0,0.0,0.0,0.0,10631.02,29245.04,29245.04,134.47,0.0
FIN-000059,20251201,2025-12,1,Material,Forecast,31345.26,0.0,0.0,0.0,0.0,11426.95,30801.58,30801.58,0.0,0.0
FIN-000060,20251201,2025-12,1,Other,Forecast,15043.27,0.0,0.0,0.0,0.0,3728.31,22625.95,22625.95,0.0,0.0
FIN-000061,20240101,2024-01,2,Labor,Actual,46715.92,996403.45,0.0,0.0,996403.45,0.0,0.0,996403.45,528.12,10780.0
FIN-000062,20240101,2024-01,2,Contractor,Actual,13723.81,302856.7,0.0,0.0,302856.7,0.0,0.0,302856.7,102.78,2367.0
FIN-000063,20240101,2024-01,2,Material,Actual,54010.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000064,20240101,2024-01,2,Other,Actual,21016.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000065,20240201,2024-02,2,Labor,Actual,48738.64,571356.68,0.0,0.0,571356.68,0.0,0.0,571356.68,550.99,6215.5
FIN-000066,20240201,2024-02,2,Contractor,Actual,15180.64,150581.04,0.0,0.0,150581.04,0.0,0.0,150581.04,113.69,1163.5
FIN-000067,20240201,2024-02,2,Material,Actual,54621.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000068,20240201,2024-02,2,Other,Actual,22228.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000069,20240301,2024-03,2,Labor,Actual,53626.63,292286.14,0.0,0.0,292286.14,0.0,0.0,292286.14,606.25,3080.5
FIN-000070,20240301,2024-03,2,Contractor,Actual,15810.09,67787.7,0.0,0.0,67787.7,0.0,0.0,67787.7,118.4,517.25
FIN-000071,20240301,2024-03,2,Material,Actual,61660.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000072,20240301,2024-03,2,Other,Actual,24332.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000073,20240401,2024-04,2,Labor,Actual,57041.79,211646.04,0.0,0.0,211646.04,0.0,0.0,211646.04,644.86,2316.75
FIN-000074,20240401,2024-04,2,Contractor,Actual,17158.79,90664.82,0.0,0.0,90664.82,0.0,0.0,90664.82,128.51,715.5
FIN-000075,20240401,2024-04,2,Material,Actual,64541.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000076,20240401,2024-04,2,Other,Actual,24905.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000077,20240501,2024-05,2,Labor,Actual,60880.78,187039.08,0.0,0.0,187039.08,0.0,0.0,187039.08,688.26,1959.75
FIN-000078,20240501,2024-05,2,Contractor,Actual,20410.7,36593.86,0.0,0.0,36593.86,0.0,0.0,36593.86,152.86,287.5
FIN-000079,20240501,2024-05,2,Material,Actual,68903.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000080,20240501,2024-05,2,Other,Actual,27039.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000081,20240601,2024-06,2,Labor,Actual,66147.07,106929.08,0.0,0.0,106929.08,0.0,0.0,106929.08,747.79,1154.0
FIN-000082,20240601,2024-06,2,Contractor,Actual,22375.67,20109.04,0.0,0.0,20109.04,0.0,0.0,20109.04,167.58,149.25
FIN-000083,20240601,2024-06,2,Material,Actual,65337.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000084,20240601,2024-06,2,Other,Actual,30219.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000085,20240701,2024-07,2,Labor,Actual,66509.19,102744.78,0.0,0.0,102744.78,0.0,0.0,102744.78,751.89,1102.5
FIN-000086,20240701,2024-07,2,Contractor,Actual,23568.69,29817.65,0.0,0.0,29817.65,0.0,0.0,29817.65,176.51,262.75
FIN-000087,20240701,2024-07,2,Material,Actual,72819.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000088,20240701,2024-07,2,Other,Actual,28399.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000089,20240801,2024-08,2,Labor,Actual,75931.33,67295.45,0.0,0.0,67295.45,0.0,0.0,67295.45,858.4,711.0
FIN-000090,20240801,2024-08,2,Contractor,Actual,25511.27,11669.32,0.0,0.0,11669.32,0.0,0.0,11669.32,191.06,94.5
FIN-000091,20240801,2024-08,2,Material,Actual,71289.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000092,20240801,2024-08,2,Other,Actual,30722.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000093,20240901,2024-09,2,Labor,Actual,75662.03,99183.14,0.0,0.0,99183.14,0.0,0.0,99183.14,855.36,1055.75
FIN-000094,20240901,2024-09,2,Contractor,Actual,25318.58,25655.77,0.0,0.0,25655.77,0.0,0.0,25655.77,189.62,210.25
FIN-000095,20240901,2024-09,2,Material,Actual,78056.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000096,20240901,2024-09,2,Other,Actual,30976.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN-000097,20241001,2024-10,2,Labor,Actual,80504.05,68494.71,0.0,0.0,68494.71,0.0,0.0,68494.71,910.1,721.0
FIN-000098,20241001,2024-10,2,Contractor,Actual,29316.42,26877.09,0.0,0.0,26877.09,0.0,0.0,26877.09,219.56,209.0
