WorkforcePlanRecordID,MonthStartDateKey,TeamKey,SkillKey,Location,RequiredFTE,ActualFTE,OpenDemandFTE,ContractorFTE,CapacityGapFTE,AvailableCapacityHours,RequiredCapacityHours
WFP-000001,20240101,1,1,"Atlanta, GA",4.66,4.0,0.66,2.0,-0.66,640.0,745.6
WFP-000002,20240101,1,1,"Phoenix, AZ",3.49,3.0,0.49,0.0,-0.49,480.0,558.4
WFP-000003,20240101,1,1,"Charlotte, NC",11.22,3.0,8.22,0.0,-8.22,480.0,1795.2
WFP-000004,20240101,1,1,"Remote, US",5.83,5.0,0.83,1.0,-0.83,800.0,932.8
WFP-000005,20240101,2,2,"Atlanta, GA",2.18,2.0,0.18,0.0,-0.18,320.0,348.8
WFP-000006,20240101,2,2,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000007,20240101,2,2,"Charlotte, NC",2.18,2.0,0.18,1.0,-0.18,320.0,348.8
WFP-000008,20240101,2,2,"Remote, US",7.28,4.94,2.34,0.0,-2.34,790.4,1164.8
WFP-000009,20240101,3,3,"Atlanta, GA",2.2,2.0,0.2,0.0,-0.2,320.0,352.0
WFP-000010,20240101,3,3,"Phoenix, AZ",4.39,4.0,0.39,1.0,-0.39,640.0,702.4
WFP-000011,20240101,3,3,"Charlotte, NC",11.55,7.52,4.03,1.0,-4.03,1203.2,1848.0
WFP-000012,20240101,3,3,"Remote, US",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000013,20240101,4,4,"Atlanta, GA",2.3,2.0,0.3,0.0,-0.3,320.0,368.0
WFP-000014,20240101,4,4,"Phoenix, AZ",14.61,7.47,7.14,1.0,-7.14,1195.2,2337.6
WFP-000015,20240101,4,4,"Charlotte, NC",4.86,4.23,0.63,1.0,-0.63,676.8,777.6
WFP-000016,20240101,4,4,"Remote, US",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000017,20240101,5,5,"Atlanta, GA",4.2,3.9,0.3,2.0,-0.3,624.0,672.0
WFP-000018,20240101,5,5,"Phoenix, AZ",3.12,2.9,0.22,0.0,-0.22,464.0,499.2
WFP-000019,20240101,5,5,"Charlotte, NC",7.66,5.0,2.66,0.0,-2.66,800.0,1225.6
WFP-000020,20240101,5,5,"Remote, US",1.08,1.0,0.08,0.0,-0.08,160.0,172.8
WFP-000021,20240101,6,6,"Atlanta, GA",2.97,3.0,0.0,0.0,0.03,480.0,475.2
WFP-000022,20240101,6,6,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000023,20240101,6,6,"Charlotte, NC",1.98,2.0,0.0,0.0,0.02,320.0,316.8
WFP-000024,20240101,6,6,"Remote, US",6.92,6.0,0.92,2.0,-0.92,960.0,1107.2
WFP-000025,20240101,7,7,"Atlanta, GA",1.21,1.0,0.21,0.0,-0.21,160.0,193.6
WFP-000026,20240101,7,7,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000027,20240101,7,7,"Charlotte, NC",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000028,20240101,7,7,"Remote, US",6.68,3.0,3.68,1.0,-3.68,480.0,1068.8
WFP-000029,20240101,8,8,"Atlanta, GA",4.8,3.0,1.8,1.0,-1.8,480.0,768.0
WFP-000030,20240101,8,8,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000031,20240101,8,8,"Charlotte, NC",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000032,20240101,8,8,"Remote, US",2.22,2.0,0.22,1.0,-0.22,320.0,355.2
WFP-000033,20240201,1,1,"Atlanta, GA",4.67,4.0,0.67,2.0,-0.67,640.0,747.2
WFP-000034,20240201,1,1,"Phoenix, AZ",3.5,3.0,0.5,0.0,-0.5,480.0,560.0
WFP-000035,20240201,1,1,"Charlotte, NC",11.43,3.0,8.43,0.0,-8.43,480.0,1828.8
WFP-000036,20240201,1,1,"Remote, US",5.84,5.0,0.84,1.0,-0.84,800.0,934.4
WFP-000037,20240201,2,2,"Atlanta, GA",2.22,2.0,0.22,0.0,-0.22,320.0,355.2
WFP-000038,20240201,2,2,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000039,20240201,2,2,"Charlotte, NC",1.66,1.5,0.16,1.0,-0.16,240.0,265.6
WFP-000040,20240201,2,2,"Remote, US",7.96,5.0,2.96,0.0,-2.96,800.0,1273.6
WFP-000041,20240201,3,3,"Atlanta, GA",2.17,2.0,0.17,0.0,-0.17,320.0,347.2
WFP-000042,20240201,3,3,"Phoenix, AZ",4.34,4.0,0.34,1.0,-0.34,640.0,694.4
WFP-000043,20240201,3,3,"Charlotte, NC",11.57,8.0,3.57,1.0,-3.57,1280.0,1851.2
WFP-000044,20240201,3,3,"Remote, US",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000045,20240201,4,4,"Atlanta, GA",2.23,2.0,0.23,0.0,-0.23,320.0,356.8
WFP-000046,20240201,4,4,"Phoenix, AZ",13.72,8.0,5.72,1.0,-5.72,1280.0,2195.2
WFP-000047,20240201,4,4,"Charlotte, NC",5.37,4.8,0.57,1.0,-0.57,768.0,859.2
WFP-000048,20240201,4,4,"Remote, US",0.46,0.41,0.05,0.0,-0.05,65.6,73.6
WFP-000049,20240201,5,5,"Atlanta, GA",4.27,4.0,0.27,2.0,-0.27,640.0,683.2
WFP-000050,20240201,5,5,"Phoenix, AZ",3.21,3.0,0.21,0.0,-0.21,480.0,513.6
WFP-000051,20240201,5,5,"Charlotte, NC",7.37,5.0,2.37,0.0,-2.37,800.0,1179.2
WFP-000052,20240201,5,5,"Remote, US",1.07,1.0,0.07,0.0,-0.07,160.0,171.2
WFP-000053,20240201,6,6,"Atlanta, GA",3.0,3.0,0.0,0.0,0.0,480.0,480.0
WFP-000054,20240201,6,6,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000055,20240201,6,6,"Charlotte, NC",2.0,2.0,0.0,0.0,0.0,320.0,320.0
WFP-000056,20240201,6,6,"Remote, US",6.99,6.0,0.99,2.0,-0.99,960.0,1118.4
WFP-000057,20240201,7,7,"Atlanta, GA",1.21,1.0,0.21,0.0,-0.21,160.0,193.6
WFP-000058,20240201,7,7,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000059,20240201,7,7,"Charlotte, NC",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000060,20240201,7,7,"Remote, US",6.86,3.11,3.75,1.0,-3.75,497.6,1097.6
WFP-000061,20240201,8,8,"Atlanta, GA",4.61,2.5,2.11,1.0,-2.11,400.0,737.6
WFP-000062,20240201,8,8,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000063,20240201,8,8,"Charlotte, NC",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000064,20240201,8,8,"Remote, US",2.28,2.0,0.28,1.0,-0.28,320.0,364.8
WFP-000065,20240301,1,1,"Atlanta, GA",4.66,4.0,0.66,2.0,-0.66,640.0,745.6
WFP-000066,20240301,1,1,"Phoenix, AZ",3.49,3.0,0.49,0.0,-0.49,480.0,558.4
WFP-000067,20240301,1,1,"Charlotte, NC",12.14,3.74,8.4,0.0,-8.4,598.4,1942.4
WFP-000068,20240301,1,1,"Remote, US",5.24,4.5,0.74,1.0,-0.74,720.0,838.4
WFP-000069,20240301,2,2,"Atlanta, GA",2.19,2.0,0.19,0.0,-0.19,320.0,350.4
WFP-000070,20240301,2,2,"Phoenix, AZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFP-000071,20240301,2,2,"Charlotte, NC",2.19,2.0,0.19,1.0,-0.19,320.0,350.4
WFP-000072,20240301,2,2,"Remote, US",7.54,5.0,2.54,0.0,-2.54,800.0,1206.4
