CheckID,Category,CheckName,Status,Severity,ObservedValue,ExpectedRule,AffectedRows,Details
VOL-01,Volume,Dataset contains exactly 11 linked CSV tables,PASS,Error,11,11 tables,0,
VOL-02,Volume,DimDate covers exactly 24 months,PASS,Error,24,24 distinct YearMonth values,0,
VOL-03,Volume,Project count,PASS,Error,25,25 projects,0,
VOL-04,Volume,Employee/contractor count,PASS,Error,120,120 resources,0,
VOL-05,Volume,Labor fact volume,PASS,Error,8172,"8,000–20,000 rows",0,
MOD-01,Modeling,Each employee has exactly one primary bridge skill,PASS,Error,0,0 employee exceptions,0,
PK-01,Primary Key,DimDate.DateKey is unique and nonblank,PASS,Error,blank=0; duplicate=0,0 blank and 0 duplicate physical primary keys,0,
PK-02,Primary Key,DimProject.ProjectKey is unique and nonblank,PASS,Error,blank=0; duplicate=0,0 blank and 0 duplicate physical primary keys,0,
PK-03,Primary Key,DimEmployee.EmployeeKey is unique and nonblank,PASS,Error,blank=0; duplicate=0,0 blank and 0 duplicate physical primary keys,0,
PK-04,Primary Key,DimTeam.TeamKey is unique and nonblank,PASS,Error,blank=0; duplicate=0,0 blank and 0 duplicate physical primary keys,0,
PK-05,Primary Key,DimSkill.SkillKey is unique and nonblank,PASS,Error,blank=0; duplicate=0,0 blank and 0 duplicate physical primary keys,0,
PK-06,Primary Key,BridgeEmployeeSkill.EmployeeSkillKey is unique and nonblank,PASS,Error,blank=0; duplicate=0,0 blank and 0 duplicate physical primary keys,0,
PK-07,Primary Key,FactLabor.LaborRecordID is unique and nonblank,PASS,Error,blank=0; duplicate=0,0 blank and 0 duplicate physical primary keys,0,
PK-08,Primary Key,FactFinancial.FinancialRecordID is unique and nonblank,PASS,Error,blank=0; duplicate=0,0 blank and 0 duplicate physical primary keys,0,
PK-09,Primary Key,FactMilestone.MilestoneKey is unique and nonblank,PASS,Error,blank=0; duplicate=0,0 blank and 0 duplicate physical primary keys,0,
PK-10,Primary Key,FactWorkforcePlan.WorkforcePlanRecordID is unique and nonblank,PASS,Error,blank=0; duplicate=0,0 blank and 0 duplicate physical primary keys,0,
PK-11,Primary Key,FactRiskIssue.RiskIssueKey is unique and nonblank,PASS,Error,blank=0; duplicate=0,0 blank and 0 duplicate physical primary keys,0,
FK-01,Referential Integrity,DimProject.PrimaryTeamKey resolves to DimTeam.TeamKey,PASS,Error,0,0 orphan foreign keys,0,
FK-02,Referential Integrity,DimEmployee.TeamKey resolves to DimTeam.TeamKey,PASS,Error,0,0 orphan foreign keys,0,
FK-03,Referential Integrity,DimEmployee.PrimarySkillKey resolves to DimSkill.SkillKey,PASS,Error,0,0 orphan foreign keys,0,
FK-04,Referential Integrity,BridgeEmployeeSkill.EmployeeKey resolves to DimEmployee.EmployeeKey,PASS,Error,0,0 orphan foreign keys,0,
FK-05,Referential Integrity,BridgeEmployeeSkill.SkillKey resolves to DimSkill.SkillKey,PASS,Error,0,0 orphan foreign keys,0,
