ExceptionType,LaborRecordID,EmployeeKey,ProjectKey,WeekStartDateKey,Details
LateSubmission,LAB-000027,27,962,20250804,Controlled A06 data-quality evidence
LateSubmission,LAB-000028,28,962,20250804,Controlled A06 data-quality evidence
LateSubmission,LAB-000029,29,962,20250804,Controlled A06 data-quality evidence
LateSubmission,LAB-000059,59,962,20250804,Controlled A06 data-quality evidence
DuplicateNaturalKey|LateSubmission,LAB-000146,29,962,20250811,Controlled A06 data-quality evidence
DuplicateNaturalKey|LateSubmission,LAB-006496,29,962,20250811,Controlled A06 data-quality evidence
LateSubmission,LAB-000195,78,962,20250811,Controlled A06 data-quality evidence
LateSubmission,LAB-000232,118,962,20250811,Controlled A06 data-quality evidence
LateSubmission,LAB-000239,5,552,20250818,Controlled A06 data-quality evidence
LateSubmission,LAB-000244,10,436,20250818,Controlled A06 data-quality evidence
LateSubmission,LAB-000306,72,436,20250818,Controlled A06 data-quality evidence
DuplicateNaturalKey,LAB-006443,33,732,20250825,Controlled A06 data-quality evidence
DuplicateNaturalKey,LAB-006509,33,732,20250825,Controlled A06 data-quality evidence
LateSubmission,LAB-000396,45,962,20250825,Controlled A06 data-quality evidence
LateSubmission,LAB-000412,61,732,20250825,Controlled A06 data-quality evidence
LateSubmission,LAB-000442,92,78,20250825,Controlled A06 data-quality evidence
LateSubmission,LAB-000485,17,780,20250901,Controlled A06 data-quality evidence
LateSubmission,LAB-000518,50,374,20250901,Controlled A06 data-quality evidence
LateSubmission,LAB-006345,66,176,20250901,Controlled A06 data-quality evidence
LateSubmission,LAB-000534,66,732,20250901,Controlled A06 data-quality evidence
LateSubmission,LAB-006492,70,253,20250901,Controlled A06 data-quality evidence
LateSubmission,LAB-000538,70,732,20250901,Controlled A06 data-quality evidence
DuplicateNaturalKey,LAB-000541,73,452,20250901,Controlled A06 data-quality evidence
DuplicateNaturalKey,LAB-006499,73,452,20250901,Controlled A06 data-quality evidence
MissingLaborValue|LateSubmission,LAB-000547,79,176,20250901,Controlled A06 data-quality evidence
LateSubmission,LAB-000657,72,624,20250908,Controlled A06 data-quality evidence
LateSubmission,LAB-000706,4,435,20250915,Controlled A06 data-quality evidence
MissingLaborValue,LAB-000731,29,386,20250915,Controlled A06 data-quality evidence
LateSubmission,LAB-000735,33,954,20250915,Controlled A06 data-quality evidence
LateSubmission,LAB-000752,50,418,20250915,Controlled A06 data-quality evidence
LateSubmission,LAB-000761,59,435,20250915,Controlled A06 data-quality evidence
LateSubmission,LAB-000768,66,78,20250915,Controlled A06 data-quality evidence
MissingLaborValue,LAB-000814,114,418,20250915,Controlled A06 data-quality evidence
LateSubmission,LAB-000822,3,436,20250922,Controlled A06 data-quality evidence
DuplicateNaturalKey,LAB-006405,20,572,20250922,Controlled A06 data-quality evidence
DuplicateNaturalKey,LAB-006497,20,572,20250922,Controlled A06 data-quality evidence
LateSubmission,LAB-000842,23,780,20250922,Controlled A06 data-quality evidence
LateSubmission,LAB-006461,82,587,20250922,Controlled A06 data-quality evidence
LateSubmission,LAB-000900,82,719,20250922,Controlled A06 data-quality evidence
LateSubmission,LAB-000919,102,935,20250922,Controlled A06 data-quality evidence
LateSubmission,LAB-000989,53,1,20250929,Controlled A06 data-quality evidence
MissingLaborValue,LAB-001096,43,253,20251006,Controlled A06 data-quality evidence
LateSubmission,LAB-001098,45,719,20251006,Controlled A06 data-quality evidence
LateSubmission,LAB-001099,46,861,20251006,Controlled A06 data-quality evidence
MissingLaborValue,LAB-001168,118,861,20251006,Controlled A06 data-quality evidence
LateSubmission,LAB-001220,50,175,20251013,Controlled A06 data-quality evidence
LateSubmission,LAB-006440,50,246,20251013,Controlled A06 data-quality evidence
LateSubmission,LAB-001273,105,137,20251013,Controlled A06 data-quality evidence
LateSubmission,LAB-001313,26,929,20251020,Controlled A06 data-quality evidence
LateSubmission,LAB-001328,41,37,20251020,Controlled A06 data-quality evidence
MissingLaborValue,LAB-001351,64,435,20251020,Controlled A06 data-quality evidence
LateSubmission,LAB-006472,118,297,20251020,Controlled A06 data-quality evidence
LateSubmission,LAB-001402,118,743,20251020,Controlled A06 data-quality evidence
LateSubmission,LAB-001463,59,916,20251027,Controlled A06 data-quality evidence
LateSubmission,LAB-001479,75,221,20251027,Controlled A06 data-quality evidence
LateSubmission,LAB-001480,76,732,20251027,Controlled A06 data-quality evidence
DuplicateNaturalKey,LAB-001523,2,954,20251103,Controlled A06 data-quality evidence
DuplicateNaturalKey,LAB-006502,2,954,20251103,Controlled A06 data-quality evidence
LateSubmission,LAB-001607,87,728,20251103,Controlled A06 data-quality evidence
LateSubmission,LAB-001611,91,37,20251103,Controlled A06 data-quality evidence
LateSubmission,LAB-001649,11,743,20251110,Controlled A06 data-quality evidence
MissingLaborValue,LAB-001672,34,418,20251110,Controlled A06 data-quality evidence
LateSubmission,LAB-001702,64,452,20251110,Controlled A06 data-quality evidence
LateSubmission,LAB-001716,78,743,20251110,Controlled A06 data-quality evidence
LateSubmission,LAB-001743,107,392,20251110,Controlled A06 data-quality evidence
LateSubmission,LAB-001745,109,222,20251110,Controlled A06 data-quality evidence
LateSubmission,LAB-001757,2,581,20251117,Controlled A06 data-quality evidence
LateSubmission,LAB-001767,12,183,20251117,Controlled A06 data-quality evidence
LateSubmission,LAB-001795,40,189,20251117,Controlled A06 data-quality evidence
LateSubmission,LAB-001797,42,888,20251117,Controlled A06 data-quality evidence
LateSubmission,LAB-001805,50,84,20251117,Controlled A06 data-quality evidence
MissingLaborValue,LAB-001861,108,246,20251117,Controlled A06 data-quality evidence
LateSubmission,LAB-001878,6,472,20251124,Controlled A06 data-quality evidence
LateSubmission,LAB-001903,31,954,20251124,Controlled A06 data-quality evidence
LateSubmission,LAB-001959,88,877,20251124,Controlled A06 data-quality evidence
